label,x,y,plot_type,plot_num
FLKeys,21336.42541117255,24022.453040219443,path,2
FLKeys,23654.42867657804,24022.453040219443,path,2
FLKeys,26224.2613386554,42048.50946667971,path,2
FLKeys,29073.282308401285,42048.50946667971,path,2
FLKeys,32231.822786865912,70124.93264377477,path,2
FLKeys,35733.509176695894,70124.93264377477,path,2
FLKeys,39615.621074999355,70124.93264377477,path,2
FLKeys,43919.48815879067,67259.11675659167,path,2
FLKeys,48690.9301883307,40902.937899492565,path,2
FLKeys,53980.7448127185,28107.042505816742,path,2
FLKeys,59845.24837100335,28964.76616863476,path,2
FLKeys,66346.87544628413,38462.35591883733,path,2
FLKeys,73554.84355575973,38462.35591883733,path,2
FLKeys,81545.89005314343,48330.23691591372,path,2
FLKeys,90405.08908863903,51187.73489707591,path,2
FLKeys,100226.75732398477,51187.73489707591,path,2
FLKeys,111115.45804497543,48813.23119901041,path,2
FLKeys,123187.11436142704,48813.23119901041,path,2
FLKeys,136570.24334591668,46407.86964573486,path,2
FLKeys,151407.32425016625,46407.86964573486,path,2
FLKeys,167856.31536535147,47053.02649870937,path,2
FLKeys,186092.33567511133,47053.02649870937,path,2
FLKeys,206309.52920444356,51274.17180281515,path,2
FLKeys,228723.13191269044,51274.17180281515,path,2
FLKeys,253571.76313513334,58533.45624481597,path,2
FLKeys,281119.96596830693,58533.45624481597,path,2
FLKeys,311661.02364444366,63649.77194163951,path,2
FLKeys,345520.0818786849,61217.623244872695,path,2
FLKeys,383057.61043014354,61217.623244872695,path,2
FLKeys,424673.24072923453,66744.12028072166,path,2
FLKeys,470810.0204273573,66744.12028072166,path,2
FLKeys,521959.1301636471,75909.98172849586,path,2
FLKeys,578665.1127643682,75909.98172849586,path,2
FLKeys,641531.670545957,95517.56795861588,path,2
FLKeys,711228.0924408761,95517.56795861588,path,2
FLKeys,788496.379370643,95517.56795861588,path,2
FLKeys,874159.1437240611,132556.58061761013,path,2
FLKeys,969128.3670399485,132556.58061761013,path,2
FLKeys,1074415.1091302773,132556.58061761013,path,2
FLKeys,1191140.2720088195,236246.3981775536,path,2
FLKeys,1320546.533220061,236246.3981775536,path,2
FLKeys,1464011.575612829,236246.3981775536,path,2
FLKeys,1623062.7544051756,140479.82258824617,path,2
FLKeys,1799393.3576888489,140479.82258824617,path,2
FLKeys,1994880.6334856472,140479.82258824617,path,2
FLKeys,2211605.7752749803,140479.82258824617,path,2
FLKeys,2451876.0787622975,140479.82258824617,path,2
FLKeys,2718249.5057733897,346860.9059041984,path,2
FLKeys,0.0,477216.0962158239,path,3
FLKeys,100.0,477216.0962158239,path,3
FLKeys,110.84978379095013,477216.0962158239,path,3
FLKeys,122.87674566500392,477216.0962158239,path,3
FLKeys,136.20860689901266,487300.768978264,path,3
FLKeys,150.98694625222075,487300.768978264,path,3
FLKeys,167.36870347314476,496213.43143148086,path,3
FLKeys,185.52784593369742,496213.43143148086,path,3
FLKeys,205.65721608951063,501326.3154669266,path,3
FLKeys,227.9705793857099,501326.3154669266,path,3
FLKeys,252.7048943560357,501120.3678785438,path,3
FLKeys,280.1228290228145,501120.3678785438,path,3
FLKeys,310.5155503208828,496756.6338940087,path,3
FLKeys,344.20581616797756,496756.6338940087,path,3
FLKeys,381.55140301807876,491242.20697005227,path,3
FLKeys,422.94890529687666,491242.20697005227,path,3
FLKeys,468.8379470677787,491242.20697005227,path,3
FLKeys,519.7058506545618,486821.51920174767,path,3
FLKeys,576.0928117994999,486821.51920174767,path,3
FLKeys,638.5976363149516,482898.77357855195,path,3
FLKeys,707.8840991492413,482898.77357855195,path,3
FLKeys,784.6879933974498,477601.67460816953,path,3
FLKeys,869.824944114618,477601.67460816953,path,3
FLKeys,964.1990699108069,470043.59695285035,path,3
FLKeys,1068.8125843104826,470043.59695285035,path,3
FLKeys,1184.7764388386352,460871.9986745487,path,3
FLKeys,1313.3221208587465,460871.9986745487,path,3
FLKeys,1455.8147314506418,451010.89242248895,path,3
FLKeys,1613.7674822098377,451010.89242248895,path,3
FLKeys,1788.8577649182648,451010.89242248895,path,3
FLKeys,1982.9449647395204,440804.12646763155,path,3
FLKeys,2198.0902061072907,440804.12646763155,path,3
FLKeys,2436.578240999983,427949.74343000754,path,3
FLKeys,2700.941712045817,427949.74343000754,path,3
FLKeys,2993.988048122375,408144.78248545417,path,3
FLKeys,3318.829278070542,408144.78248545417,path,3
FLKeys,3678.915079131947,375000.2310298255,path,3
FLKeys,4078.069411070428,375000.2310298255,path,3
FLKeys,4520.531125016442,322184.67859298526,path,3
FLKeys,5010.998978283332,322184.67859298526,path,3
FLKeys,5554.681533193796,248901.33376327044,path,3
FLKeys,6157.352469821158,248901.33376327044,path,3
